time	pop	freq	onset
11990	EHG	0.0	12000
11990	ANA	0.0	12000
11990	EUR	0.0001	12000
11990	YAM	NA	12000
11960	EHG	0.0	12000
11960	ANA	0.0	12000
11960	EUR	0.0001	12000
11960	YAM	NA	12000
11930	EHG	0.0	12000
11930	ANA	0.0	12000
11930	EUR	0.0002	12000
11930	YAM	NA	12000
11900	EHG	0.0	12000
11900	ANA	0.0	12000
11900	EUR	0.0001	12000
11900	YAM	NA	12000
11870	EHG	0.0	12000
11870	ANA	0.0	12000
11870	EUR	0.0002	12000
11870	YAM	NA	12000
11840	EHG	0.0	12000
11840	ANA	0.0	12000
11840	EUR	0.0003	12000
11840	YAM	NA	12000
11810	EHG	0.0	12000
11810	ANA	0.0	12000
11810	EUR	0.0005	12000
11810	YAM	NA	12000
11780	EHG	0.0	12000
11780	ANA	0.0	12000
11780	EUR	0.0007	12000
11780	YAM	NA	12000
11750	EHG	0.0	12000
11750	ANA	0.0	12000
11750	EUR	0.0009	12000
11750	YAM	NA	12000
11720	EHG	0.0	12000
11720	ANA	0.0	12000
11720	EUR	0.0007	12000
11720	YAM	NA	12000
11690	EHG	0.0	12000
11690	ANA	0.0	12000
11690	EUR	0.0012	12000
11690	YAM	NA	12000
11660	EHG	0.0	12000
11660	ANA	0.0	12000
11660	EUR	0.0012	12000
11660	YAM	NA	12000
11630	EHG	0.0	12000
11630	ANA	0.0	12000
11630	EUR	0.0009	12000
11630	YAM	NA	12000
11600	EHG	0.0	12000
11600	ANA	0.0	12000
11600	EUR	0.001	12000
11600	YAM	NA	12000
11570	EHG	0.0	12000
11570	ANA	0.0	12000
11570	EUR	0.0011	12000
11570	YAM	NA	12000
11540	EHG	0.0	12000
11540	ANA	0.0	12000
11540	EUR	0.0013	12000
11540	YAM	NA	12000
11510	EHG	0.0	12000
11510	ANA	0.0	12000
11510	EUR	0.0017	12000
11510	YAM	NA	12000
11480	EHG	0.0	12000
11480	ANA	0.0	12000
11480	EUR	0.0017	12000
11480	YAM	NA	12000
11450	EHG	0.0	12000
11450	ANA	0.0	12000
11450	EUR	0.0016	12000
11450	YAM	NA	12000
11420	EHG	0.0	12000
11420	ANA	0.0	12000
11420	EUR	0.0025	12000
11420	YAM	NA	12000
11390	EHG	0.0	12000
11390	ANA	0.0	12000
11390	EUR	0.002	12000
11390	YAM	NA	12000
11360	EHG	0.0	12000
11360	ANA	0.0	12000
11360	EUR	0.0026	12000
11360	YAM	NA	12000
11330	EHG	0.0	12000
11330	ANA	0.0	12000
